target,filter,cluster,_RAJ2000,_DEJ2000,S/N,Teff,logg,gamma,Ks,RV,e_RV,logL
08015580-6042558,665,NGC2516,120.4825,-60.7155,27.41,4023,4.66,0.879,13.163,23.53,0.33,-1.11
08015838-6042508,665,NGC2516,120.49325,-60.7141,44.23,4115,4.71,0.885,12.895,25.4,0.28,-0.98
08020996-6042421,665,NGC2516,120.5415,-60.7117,30.38,4009,4.77,0.855,13.248,24.79,0.41,-1.14
08021221-6055262,665,NGC2516,120.55088,-60.9239,48.44,4347,4.71,0.901,12.775,23.09,0.28,-0.93
08021438-6057429,665,NGC2516,120.55992,-60.9619,14.6,3359,4.716,0.827,13.526,15.12,0.49,-1.32
08021875-6045186,665,NGC2516,120.57813,-60.7552,27.31,3992,4.83,0.843,13.417,24.14,0.38,-1.21
08022195-6042432,665,NGC2516,120.59146,-60.712,31.28,4385,4.86,0.895,13.25,13.34,0.33,-1.1
08022910-6044507,665,NGC2516,120.62125,-60.7474,16.58,3624,4.54,0.82,13.665,10.84,0.47,-1.35
08023471-6046046,665,NGC2516,120.64463,-60.7679,15.31,3399,4.65,0.837,13.401,23.45,0.58,-1.27
08023533-6040197,665,NGC2516,120.64721,-60.6721,22.72,4009,4.75,0.856,13.279,23.3,0.38,-1.13
08023898-6057231,665,NGC2516,120.66242,-60.9564,10.36,3472,4.409,0.818,13.872,24.37,0.73,-1.48
08024318-6053051,665,NGC2516,120.67992,-60.8847,11.35,3373,4.57,0.848,13.767,23.98,0.85,-1.47
08024838-6047096,665,NGC2516,120.70158,-60.786,15.7,3680,4.73,0.808,13.876,25.06,0.49,-1.43
08024877-6052010,665,NGC2516,120.70321,-60.8669,16.55,3697,4.62,0.818,13.776,23.51,0.45,-1.39
08025517-6039245,665,NGC2516,120.72988,-60.6568,25.55,4213,4.75,0.875,13,25.35,0.38,-1.02
08031131-6038165,665,NGC2516,120.79712,-60.6379,6.56,4958,2.49,-999,13.408,22.05,6.9,-1.26
08031783-6049582,665,NGC2516,120.82429,-60.8328,31.05,4007,4.78,0.849,13.284,23.46,0.32,-1.14
08033219-6044262,665,NGC2516,120.88413,-60.7406,6.27,3683,3.966,-999,14.288,23.82,1.43,-1.61
08034358-6051252,665,NGC2516,120.93158,-60.857,8.89,5263,3.272,-999,13.508,32.54,0.71,-1.34
07541167-6048001,580,NGC2516,118.54863,-60.8,46.93,5503,4.27,0.986,11.561,22.58,0.32,-0.22
07541553-6058079,580,NGC2516,118.56471,-60.9689,39.44,5449,4.601,0.988,11.892,24.73,0.32,-0.34
07542322-6034452,580,NGC2516,118.59675,-60.5792,43.75,5794,4.121,0.996,11.461,89.4,0.32,-0.04
07544342-6024437,580,NGC2516,118.68092,-60.4121,44.27,5433,4.532,0.988,11.862,24.8,0.32,-0.25
07544443-6108107,580,NGC2516,118.68513,-61.1363,59.44,5917,3.781,1,11.33,42.99,0.32,0
07550546-6036336,580,NGC2516,118.77275,-60.6093,34.06,5186,4.404,0.979,11.831,8.15,0.32,-0.3
07550592-6104294,580,NGC2516,118.77467,-61.0748,75.73,5788,4.525,1,11.455,23.43,0.32,-0.06
07551614-6101207,580,NGC2516,118.81725,-61.0224,35.94,4911,2.582,1.02,11.651,-12.78,0.32,-0.36
07551977-6104200,580,NGC2516,118.83238,-61.0722,89.14,6001,4.501,0.997,11.339,24.41,0.32,0.04
07553236-6023094,580,NGC2516,118.88483,-60.3859,44.07,5671,4.528,0.994,11.652,24.44,0.32,-0.09
07562154-6058089,580,NGC2516,119.08975,-60.9691,27.22,5126,4.591,0.979,11.615,25.93,0.32,-0.33
07564410-6034523,580,NGC2516,119.18375,-60.5812,32.59,5574,4.516,0.992,11.682,24.9,0.32,-0.12
07564930-6030483,580,NGC2516,119.20542,-60.5134,6.28,5431,3.895,0.999,12.02,60.46,0.33,-0.41
07570115-6108175,580,NGC2516,119.25479,-61.1382,16.44,4895,3.466,1.013,11.63,-20.29,0.32,-0.35
07573608-6048128,580,NGC2516,119.40033,-60.8036,26.77,5593,4.573,0.996,11.74,23,0.32,-0.18
07574792-6056131,580,NGC2516,119.44967,-60.937,40.95,5499,4.577,0.99,11.801,25.52,0.32,-0.21
07575215-6100318,580,NGC2516,119.46729,-61.0088,28.84,5267,4.658,0.988,12.083,24.57,0.32,-0.39
07580698-6027260,580,NGC2516,119.52908,-60.4572,33.5,5051,3.707,0.998,11.292,75.59,0.32,-0.11
07583076-6025129,580,NGC2516,119.62817,-60.4203,22.3,4925,3.546,-999,11.563,50.92,0.32,-0.26
07583485-6103121,580,NGC2516,119.64521,-61.0534,68.53,6008,4.476,0.996,11.317,23.63,0.32,0.06
07584257-6040199,580,NGC2516,119.67738,-60.6722,52.21,5558,4.525,0.995,11.733,25.6,0.32,-0.15
07584349-6051425,580,NGC2516,119.68121,-60.8618,41.26,5403,3.807,0.999,11.532,68.87,0.32,-0.14
07585971-6110550,580,NGC2516,119.74879,-61.1819,0.68,5266,4.38,0.986,12.047,-999,-999,-0.39
07590020-6109585,580,NGC2516,119.75083,-61.1662,47.3,5539,4.362,0.992,11.376,15.99,0.32,-0.03
07592548-6040508,580,NGC2516,119.85617,-60.6808,69.01,5906,4.18,0.997,11.475,17.33,0.32,0.02
07593210-6048450,580,NGC2516,119.88375,-60.8125,47.25,5489,4.265,0.994,11.489,50.15,0.33,-0.19
07593671-6021483,580,NGC2516,119.90296,-60.3634,34.22,5969,4.497,-999,11.717,49.23,0.32,-0.16
07594121-6109251,580,NGC2516,119.92171,-61.157,85.25,6103,4.221,0.996,10.84,-19.48,0.33,0.28
08000021-6040083,580,NGC2516,120.00087,-60.669,29.25,5199,4.436,0.981,11.884,22.42,0.32,-0.34
08000944-6033355,580,NGC2516,120.03933,-60.5599,51.84,5851,4.571,0.996,11.507,23.55,0.32,-0.03
08001019-6107367,580,NGC2516,120.04246,-61.1269,31.86,4763,2.744,1.017,11.379,34.23,0.32,-0.23
08002823-6021348,580,NGC2516,120.11763,-60.3597,22.09,5517,4.412,0.991,11.621,51.57,0.32,-0.14
08003117-6108595,580,NGC2516,120.12988,-61.1499,35.33,5501,4.526,-999,12.002,-8.56,0.32,-0.3
08012041-6025193,580,NGC2516,120.33504,-60.422,35.65,5683,4.41,0.993,11.386,1.22,0.32,-0.02
08012920-6027429,580,NGC2516,120.37167,-60.4619,30.26,5150,3.673,1.008,11.93,-41.35,0.32,-0.37
08013658-6059021,580,NGC2516,120.40242,-60.9839,37.69,5692,4.409,-999,11.639,24.1,0.32,-0.1
08014071-6106068,580,NGC2516,120.41963,-61.1019,42.99,5548,4.466,-999,11.62,6.65,0.32,-0.1
07552325-6018496,520,NGC2516,118.84688,-60.3138,125.61,9420,3.688,-999,9.282,-999,-999,1.46
07560336-6031274,520,NGC2516,119.014,-60.5243,141.29,10978,4.323,-999,9.616,16.75,0.31,1.23
07562389-6030494,520,NGC2516,119.09954,-60.5137,93.85,8261,3.171,-999,10.006,16.26,3,1
07565226-6026034,520,NGC2516,119.21775,-60.4343,124.64,8246,3.514,-999,9.498,24.5,2.72,1.16
07571619-6025379,520,NGC2516,119.31746,-60.4272,139.14,9062,3.867,-999,9.843,19.41,3,1.19
07573456-6059351,520,NGC2516,119.394,-60.9931,90.98,8678,3.678,-999,9.667,19.46,3,1.17
07574106-6043386,520,NGC2516,119.42108,-60.7274,150.51,9117,4.006,-999,9.763,23.16,3,1.23
07574551-6047026,520,NGC2516,119.43963,-60.7841,127.1,10485,3.695,-999,9.878,-999,-999,1.03
07575737-6044162,520,NGC2516,119.48904,-60.7378,152.67,8743,3.795,-999,9.255,-999,-999,1.33
07583206-6053513,520,NGC2516,119.63358,-60.8976,106.71,8313,3.5,-999,9.841,37.18,0.34,1.07
07585302-6036106,520,NGC2516,119.72092,-60.6029,93.49,7600,3.8,-999,9.14,23.46,3,1.36
07591536-6052051,520,NGC2516,119.814,-60.8681,191.39,9915,3.812,-999,9.498,61.94,0.31,1.32
08000767-6040594,520,NGC2516,120.03196,-60.6832,121.49,8526,3.397,-999,9.506,16.73,3,1.18
08003141-6036306,520,NGC2516,120.13088,-60.6085,88.06,8000,2.916,-999,9.969,-999,-999,0.99
08003446-6042560,520,NGC2516,120.14358,-60.7156,116.35,9600,4.1,-999,9.603,-999,-999,1.4
08004530-6030299,520,NGC2516,120.18875,-60.5083,133.86,9674,3.969,-999,9.437,35.8,0.31,1.35
16113465-5414330,665,NGC6067,242.89438,-54.2425,16.92,6237,4.49,-999,14.239,-65.3,0.77,0.43
16113592-5417315,665,NGC6067,242.89967,-54.2921,16.97,7727,2.659,-999,13.377,-42.18,5.84,1.05
16113628-5415065,665,NGC6067,242.90117,-54.2518,19.38,6100,4.2,-999,14.368,-38.03,0.77,0.44
16113873-5415002,665,NGC6067,242.91137,-54.2501,16.94,6001,4.42,-999,14.469,9.21,0.76,0.26
16113878-5418371,665,NGC6067,242.91158,-54.3103,18.65,7895,3.944,-999,13.539,-73.26,7.1,1.05
16114467-5412183,665,NGC6067,242.93613,-54.2051,30.9,8523,3.367,-999,13.497,-14.35,1.2,1.12
16114844-5415330,665,NGC6067,242.95183,-54.2592,16.85,5998,4.55,-999,15.067,-68.12,0.94,0.1
16114897-5415109,665,NGC6067,242.95404,-54.253,32.89,5929,4.31,-999,14.114,-57.26,0.34,0.5
16114995-5416440,665,NGC6067,242.95813,-54.2789,29.05,8625,3.151,-999,13.068,-77.07,1.36,1.11
16115336-5415262,665,NGC6067,242.97233,-54.2573,16.83,5814,4.21,-999,14.492,-52.58,3.11,0.07
16115488-5415110,665,NGC6067,242.97867,-54.2531,31.08,7196,4.28,-999,13.314,-11.73,2.95,1.03
16115681-5410189,665,NGC6067,242.98671,-54.1719,37.67,7984,4.226,-999,13.096,-62.77,2.94,1.18
16115731-5417369,665,NGC6067,242.98879,-54.2936,26.73,5899,4.53,-999,14.283,-25,0.58,0.39
16115760-5415409,665,NGC6067,242.99,-54.2614,18.29,5845,4.26,-999,14.828,-16.76,0.49,0.12
16115905-5415596,665,NGC6067,242.99604,-54.2666,38.6,6533,4.21,-999,13.867,-9.22,0.87,0.59
16115934-5412508,665,NGC6067,242.99725,-54.2141,20.94,5603,4.38,-999,14.286,-59.18,0.62,0.34
16120077-5414193,665,NGC6067,243.00321,-54.2387,15.45,5797,3.93,-999,14.719,-78.21,0.96,0.16
16120169-5416011,665,NGC6067,243.00704,-54.267,19.81,5382,4.51,-999,14.547,-41.08,0.48,0.12
16120234-5410390,665,NGC6067,243.00975,-54.1775,31.78,7577,4.28,-999,13.281,5.24,0.99,1
16120317-5409120,665,NGC6067,243.01321,-54.1533,37.15,8332,3.374,-999,13.17,-41.75,1.09,1.18
16120331-5413012,665,NGC6067,243.01379,-54.217,28.53,5678,4.15,-999,13.908,10.89,0.47,0.48
16120415-5414044,665,NGC6067,243.01729,-54.2346,36.31,7600,4.157,-999,13.068,-50.5,2.61,1.17
16120432-5412450,665,NGC6067,243.018,-54.2125,39.62,6377,4.23,-999,13.742,8.34,0.43,0.61
16120458-5414345,665,NGC6067,243.01908,-54.2429,19.37,5200,4.4,-999,14.704,-20.56,0.38,0.12
16120460-5418591,665,NGC6067,243.01917,-54.3164,32.29,6338,4.28,-999,14.247,-45.39,2.05,0.46
16120513-5412551,665,NGC6067,243.02138,-54.2153,32.48,7981,3,-999,12.6,-71.28,1.68,1.28
16120649-5415575,665,NGC6067,243.02704,-54.266,23.51,5527,4.31,-999,14.507,-36.07,0.4,0.2
16120652-5418277,665,NGC6067,243.02717,-54.3077,30.99,5997,4.4,-999,14.343,-19.16,0.56,0.3
16120663-5419205,665,NGC6067,243.02763,-54.3224,25.69,6935,4.25,-999,12.994,-37.68,3.51,0.99
16120722-5417326,665,NGC6067,243.03008,-54.2924,36.76,7154,3.543,-999,13.059,-41.28,1.1,1.16
16120780-5420072,665,NGC6067,243.0325,-54.3353,22.6,5891,4.4,-999,14.254,-30.36,0.42,0.27
16120837-5412292,665,NGC6067,243.03488,-54.2081,28.17,6702,4.12,-999,13.242,-61.37,1.22,0.98
16120895-5414428,665,NGC6067,243.03729,-54.2452,30.1,6284,4.1,-999,14.319,-41.76,1.13,0.26
16120900-5423033,665,NGC6067,243.0375,-54.3843,31.08,7130,4.32,-999,13.038,-81.42,1.88,1.12
16120918-5417355,665,NGC6067,243.03825,-54.2932,29.67,6219,4.42,-999,14.282,-13.29,0.59,0.38
16120939-5412127,665,NGC6067,243.03913,-54.2035,38.27,8037,2.704,-999,12.872,6.65,2.14,1.31
16120978-5410210,665,NGC6067,243.04075,-54.1725,29.4,8015,3.774,-999,13.382,-33,3.83,1.1
16121012-5411364,665,NGC6067,243.04217,-54.1934,30.81,5806,4.54,-999,14.07,-52.81,0.37,0.46
16121049-5414360,665,NGC6067,243.04371,-54.2433,37.1,7267,4.353,-999,12.919,-36.39,2.26,1.2
16121149-5422169,665,NGC6067,243.04788,-54.3714,51,6143,4.34,-999,13.834,-38.24,0.28,0.64
16121178-5413004,665,NGC6067,243.04908,-54.2168,29.72,6120,4.12,-999,13.793,3.91,0.74,0.53
16121255-5418373,665,NGC6067,243.05229,-54.3104,52.77,6433,4.18,-999,13.904,-14.33,0.4,0.63
16121264-5414212,665,NGC6067,243.05267,-54.2392,53.5,6701,4.09,-999,13.682,-38.74,2.22,0.71
16121280-5414538,665,NGC6067,243.05333,-54.2483,70.04,7412,4.06,-999,13.436,-39.75,1.16,0.95
16121286-5421225,665,NGC6067,243.05358,-54.3563,21,6488,6.14,-999,14.708,-100.15,2.96,0.2
16121346-5421350,665,NGC6067,243.05608,-54.3597,31.97,7787,3,-999,13.235,-49.05,4.07,1.16
16121442-5418055,665,NGC6067,243.06008,-54.3015,37.53,5921,4.46,-999,14.211,-56.23,0.38,0.44
16121461-5416025,665,NGC6067,243.06088,-54.2674,26.92,7930,3.752,-999,13.428,-30.73,5.48,1
16121472-5414480,665,NGC6067,243.06133,-54.2467,36.99,6387,4.18,-999,14.135,-64.61,1.64,0.44
16121506-5416534,665,NGC6067,243.06275,-54.2815,58.12,6510,4.29,-999,13.82,-32.71,1.92,0.72
16121525-5413338,665,NGC6067,243.06354,-54.2261,19.42,6346,4.08,-999,14.104,-6.99,1.13,0.46
16121561-5417318,665,NGC6067,243.06504,-54.2922,24.27,6322,4.24,-999,14.403,-17.97,0.47,0.28
16121582-5409372,665,NGC6067,243.06592,-54.1603,27.86,7577,4.25,-999,13.14,-36.62,3.16,1.02
16121632-5412161,665,NGC6067,243.068,-54.2045,29.28,6023,4.22,-999,14.089,-80.36,0.64,0.45
16121640-5412462,665,NGC6067,243.06833,-54.2128,40.47,7000,1.5,-999,13.186,-16.06,0.62,1.27
16121669-5412574,665,NGC6067,243.06954,-54.2159,52.7,6449,4.11,-999,13.487,-35.46,0.97,0.78
16121697-5409473,665,NGC6067,243.07071,-54.1631,45.89,6262,4.27,-999,13.543,-22.02,1.8,0.72
16121721-5415094,665,NGC6067,243.07171,-54.2526,45,6445,4.25,-999,14.131,-57.33,1.29,0.54
16121767-5413503,665,NGC6067,243.07362,-54.2306,28.87,7717,4.22,-999,13.54,-6.05,1.11,0.98
16121789-5418554,665,NGC6067,243.07454,-54.3154,26.6,5500,3,-999,13.449,-40.4,5.5,0.96
16121810-5414438,665,NGC6067,243.07542,-54.2455,31.12,6294,4.1,-999,14.501,-42.44,0.74,0.33
16121916-5419598,665,NGC6067,243.07983,-54.3333,98.57,6423,4.21,-999,13.464,-35.79,0.3,0.77
16121955-5424098,665,NGC6067,243.08146,-54.4027,35.62,7617,3.215,-999,13.092,-12.46,1.89,1.2
16122055-5407228,665,NGC6067,243.08562,-54.123,27.9,8681,3,-999,13.168,-56.85,5.56,1.07
16122079-5416312,665,NGC6067,243.08663,-54.2753,26.98,6182,4.28,-999,14.491,-46.23,0.53,0.26
16122142-5415576,665,NGC6067,243.08925,-54.266,60.34,6415,4.23,-999,13.478,-38.48,0.43,0.73
16122186-5421339,665,NGC6067,243.09108,-54.3594,25.79,5829,4.29,-999,14.941,-12.76,0.43,0.15
16122246-5422510,665,NGC6067,243.09358,-54.3808,47.6,6370,4.1,-999,14.169,-63.51,0.67,0.56
16122258-5418506,665,NGC6067,243.09408,-54.3141,40.39,8797,4.98,-999,12.643,-32.16,4.25,1.32
16122279-5415139,665,NGC6067,243.09496,-54.2539,29.48,5624,4.46,-999,14.404,-46.02,0.73,0.2
16122306-5412476,665,NGC6067,243.09608,-54.2132,31.06,5775,4.43,-999,14.203,-4.21,0.37,0.36
16122322-5416086,665,NGC6067,243.09675,-54.2691,29.97,6139,4.08,-999,14.648,-38.43,0.56,0.26
16122326-5413253,665,NGC6067,243.09692,-54.2237,33.15,8378,2.901,-999,13.381,-14.92,3.33,1.07
16122358-5410175,665,NGC6067,243.09825,-54.1715,22.02,5499,4.43,-999,14.415,-13.51,0.58,0.3
16122363-5419456,665,NGC6067,243.09846,-54.3293,38.07,6551,4.25,-999,14.148,-23.73,0.39,0.57
16122375-5408410,665,NGC6067,243.09896,-54.1447,27.22,5074,4.21,-999,14.214,-20.31,0.33,0.27
16122425-5417173,665,NGC6067,243.10104,-54.2881,69.73,7018,4.33,-999,13.351,-28.91,1.23,0.82
16122427-5407400,665,NGC6067,243.10113,-54.1278,84.39,7114,4.15,-999,13.865,-57.87,0.39,0.64
16122428-5419565,665,NGC6067,243.10117,-54.3324,41.53,6228,4.29,-999,13.876,5.18,0.34,0.52
16122439-5414316,665,NGC6067,243.10163,-54.2421,35.18,7899,4.06,-999,13.206,-39.59,0.68,1.11
16122510-5422042,665,NGC6067,243.10458,-54.3678,46.4,5952,4.34,-999,14.068,-48.47,0.3,0.53
16122511-5420462,665,NGC6067,243.10463,-54.3462,29.39,8517,4.459,-999,13.225,-41.02,3.72,1.18
16122528-5417332,665,NGC6067,243.10533,-54.2926,64.27,6352,4.22,-999,13.651,-49.4,0.51,0.67
16122628-5415070,665,NGC6067,243.1095,-54.2519,128.7,7082,4.32,-999,13.566,-36.61,0.96,0.88
16122675-5419509,665,NGC6067,243.11146,-54.3308,33.65,7678,3.327,-999,12.851,-29.94,1.98,1.15
16122727-5414438,665,NGC6067,243.11363,-54.2455,31.64,7055,4.12,-999,13.256,-12.82,2.82,1.05
16122754-5412537,665,NGC6067,243.11475,-54.2149,28.89,7886,3,-999,13.282,-27.59,4.37,1.02
16122777-5418170,665,NGC6067,243.11571,-54.3047,26.75,6863,4.07,-999,13.146,-12.16,2.84,1.03
16122815-5408387,665,NGC6067,243.11729,-54.1441,88.68,6284,4.12,-999,14.039,-15.48,0.29,0.58
16122823-5412504,665,NGC6067,243.11763,-54.214,15.68,5787,4.21,-999,14.434,23.78,0.6,0.17
16122833-5416434,665,NGC6067,243.11804,-54.2787,38.23,5853,4.35,-999,14.297,-49.2,0.32,0.34
16122836-5408467,665,NGC6067,243.11817,-54.1463,52.89,6242,4.19,-999,13.782,-25.19,0.41,0.67
16122848-5419495,665,NGC6067,243.11867,-54.3304,26.52,5864,4.49,-999,14.318,-49.04,0.47,0.33
16122889-5417165,665,NGC6067,243.12038,-54.2879,49.79,6520,4.2,-999,14.094,-40.39,0.65,0.54
16122893-5420235,665,NGC6067,243.12054,-54.3399,84.65,6227,4.17,-999,13.574,-24.9,0.3,0.64
16122894-5413222,665,NGC6067,243.12058,-54.2228,28.17,7646,4.06,-999,13.547,-39.12,0.96,1.02
16122912-5413089,665,NGC6067,243.12133,-54.2191,48.48,6381,4.15,-999,13.335,0.57,0.69,0.91
16122932-5421573,665,NGC6067,243.12217,-54.3659,52,5895,4.43,-999,13.761,-53.78,0.29,0.58
16122935-5422463,665,NGC6067,243.12229,-54.3795,20.02,7451,3,-999,13.5,-40.47,6.96,0.96
16123097-5412107,665,NGC6067,243.12904,-54.203,33.82,8479,2.909,-999,13.381,-22.98,2.76,1.14
16123108-5418029,665,NGC6067,243.1295,-54.3008,23.1,5725,4.29,-999,14.393,-51.83,0.44,0.09
16123130-5423060,665,NGC6067,243.13042,-54.385,97.73,6691,4.32,-999,13.851,-36.5,0.4,0.79
16123197-5413064,665,NGC6067,243.13321,-54.2184,33.19,6221,4.03,-999,14.479,-40.62,0.56,0.36
16123239-5421406,665,NGC6067,243.13496,-54.3613,82.83,6558,4.29,-999,13.268,-20.33,0.51,0.94
16123288-5411026,665,NGC6067,243.137,-54.1841,128.75,7384,3,-999,13.539,-35.45,1.03,0.94
16123297-5416214,665,NGC6067,243.13737,-54.2726,33.01,7811,3.532,-999,13.433,-38.37,2.49,1.11
16123355-5415357,665,NGC6067,243.13979,-54.2599,33.18,5194,4.7,-999,14.273,66.98,0.37,0.36
16123362-5413562,665,NGC6067,243.14008,-54.2323,48.97,6454,4.24,-999,14.407,-37.14,0.79,0.56
16123444-5419050,665,NGC6067,243.1435,-54.3181,22.72,7437,4.466,-999,13.383,-38.9,3.75,0.97
16123448-5409558,665,NGC6067,243.14367,-54.1655,35.44,5810,4.43,-999,13.868,-48,0.38,0.52
16123480-5420315,665,NGC6067,243.145,-54.3421,46.64,6629,4.3,-999,13.643,-38.18,0.99,0.77
16123502-5411026,665,NGC6067,243.14592,-54.1841,44.16,6413,4.19,-999,13.549,-53.89,0.65,0.72
16123515-5408586,665,NGC6067,243.14646,-54.1496,58.1,6831,4.19,-999,13.884,-61.37,0.82,0.73
16123523-5414364,665,NGC6067,243.14679,-54.2434,114.92,6703,4.44,-999,13.56,-39.45,1.04,0.74
16123542-5421403,665,NGC6067,243.14758,-54.3612,36.85,6490,4.07,-999,14.345,-31.12,1.88,0.39
16123551-5412483,665,NGC6067,243.14796,-54.2134,31.81,7927,3.257,-999,13.474,-67.41,2.13,1.05
16123562-5410369,665,NGC6067,243.14842,-54.1769,23.42,6082,4.48,-999,14.53,-52.72,0.57,0.32
16123633-5417264,665,NGC6067,243.15138,-54.2907,35.45,8083,3,-999,13.27,-38.53,3.18,1.15
16123711-5419199,665,NGC6067,243.15463,-54.3222,32.58,6603,4.15,-999,14.388,-24.15,0.96,0.42
16123712-5417370,665,NGC6067,243.15467,-54.2936,53.88,6926,4.39,-999,13.593,-33.55,0.82,0.86
16123721-5408463,665,NGC6067,243.15504,-54.1462,35.45,5774,4.31,-999,14.246,-23.03,0.39,0.4
16123724-5421523,665,NGC6067,243.15517,-54.3645,111.46,6194,4.2,-999,13.426,39.79,0.35,0.79
16123763-5412281,665,NGC6067,243.15679,-54.2078,32.92,6607,4.16,-999,14.117,-67.29,3.45,0.56
16123801-5419525,665,NGC6067,243.15838,-54.3312,50.34,6408,4.47,-999,14.045,-39.37,1.38,0.53
16123858-5426232,665,NGC6067,243.16075,-54.4398,39.59,8312,2.965,-999,13.023,-40.93,2.86,1.23
16123866-5413142,665,NGC6067,243.16108,-54.2206,32.98,6128,4.38,-999,14.51,-40.28,0.38,0.34
16123899-5421554,665,NGC6067,243.16246,-54.3654,50.28,6207,4.11,-999,13.633,14.63,0.4,0.63
16123901-5416199,665,NGC6067,243.16254,-54.2722,41.5,6414,3.95,-999,14.214,-76.21,0.4,0.44
16123935-5411023,665,NGC6067,243.16396,-54.184,53.98,6116,4.18,-999,13.564,-62.88,0.38,0.7
16123969-5422051,665,NGC6067,243.16538,-54.3681,85.27,6387,4.18,-999,13.774,-64.93,0.33,0.68
16124012-5416267,665,NGC6067,243.16717,-54.2741,41.38,5916,4.56,-999,14.173,-35.18,0.34,0.39
16124043-5415278,665,NGC6067,243.16846,-54.2577,40.51,6398,4.08,-999,14.472,-39.28,0.37,0.38
16124071-5414025,665,NGC6067,243.16963,-54.234,68.05,6338,4.12,-999,13.49,-37.22,0.35,0.74
16124075-5415484,665,NGC6067,243.16979,-54.2634,59.16,6499,4.34,-999,13.856,-34.78,1.73,0.65
16124129-5417198,665,NGC6067,243.17204,-54.2888,52.11,6154,4.52,-999,14.187,-20.61,0.3,0.54
16124154-5413139,665,NGC6067,243.17308,-54.2205,57.31,6507,4.35,-999,13.608,-37.63,2.37,0.78
16124161-5425022,665,NGC6067,243.17337,-54.4173,22.58,8768,3.464,-999,13.343,-41.59,4.74,1.13
16124184-5418227,665,NGC6067,243.17433,-54.3063,50.2,6013,3.96,-999,13.886,-56.98,0.34,0.51
16124204-5410251,665,NGC6067,243.17517,-54.1736,29.96,5500,3,-999,13.228,-37.9,5.02,1.02
16124241-5417257,665,NGC6067,243.17671,-54.2905,37.03,7390,4.04,-999,13.421,-29.92,2.65,1.09
16124277-5410475,665,NGC6067,243.17821,-54.1799,101.56,6749,4.37,-999,13.967,-63.62,0.67,0.66
16124401-5415267,665,NGC6067,243.18338,-54.2574,91.7,6496,4.32,-999,13.985,-37.43,0.64,0.63
16124430-5408500,665,NGC6067,243.18458,-54.1472,51.83,5886,4.12,-999,13.707,-43.03,0.34,0.64
16124449-5411219,665,NGC6067,243.18537,-54.1894,28.22,6269,2.082,-999,14.013,-43.3,3.96,0.56
16124461-5419273,665,NGC6067,243.18588,-54.3242,25.46,6865,4.07,-999,13.547,-34.75,3.62,0.99
16124467-5412562,665,NGC6067,243.18613,-54.2156,66.41,7086,4.36,-999,13.485,-35.61,0.84,0.9
16124469-5422554,665,NGC6067,243.18621,-54.3821,55.19,5623,4.19,-999,13.735,89.49,0.32,0.65
16124475-5418184,665,NGC6067,243.18646,-54.3051,26.8,7506,3.379,-999,13.281,-37.99,3.23,1.04
16124500-5412153,665,NGC6067,243.1875,-54.2043,58.68,5974,4.46,-999,14.435,28.43,0.28,0.26
16124506-5417535,665,NGC6067,243.18775,-54.2982,69.62,7378,4.05,-999,13.776,-29.8,1.43,0.83
16124624-5408049,665,NGC6067,243.19267,-54.1347,36.84,6010,4.36,-999,14.138,-45.51,0.34,0.47
16124634-5403160,665,NGC6067,243.19308,-54.0544,35.06,8133,5,-999,13.19,-51.88,3.68,1.14
16124634-5418149,665,NGC6067,243.19308,-54.3041,49.29,6442,4.33,-999,14.115,-3.2,1.91,0.55
16124638-5409428,665,NGC6067,243.19325,-54.1619,63.12,5619,4.37,-999,14.07,-48.57,0.41,0.48
16124658-5422248,665,NGC6067,243.19408,-54.3736,79.27,6371,4.32,-999,13.85,-18.32,0.7,0.55
16124667-5415082,665,NGC6067,243.19446,-54.2523,33.33,7582,1.099,-999,13.288,-68.66,0.98,1.2
16124681-5414220,665,NGC6067,243.19504,-54.2394,39.83,6046,4.24,-999,14.376,-56.62,0.38,0.37
16124708-5423017,665,NGC6067,243.19617,-54.3838,44.32,5757,4.65,-999,13.996,-18.9,1.89,0.44
16124750-5416267,665,NGC6067,243.19792,-54.2741,68.44,8096,2.792,-999,13.75,-76.33,1.38,0.92
16124779-5421218,665,NGC6067,243.19913,-54.3561,37.02,9143,3.57,-999,13.241,-46.51,1.58,1.21
16124792-5413528,665,NGC6067,243.19967,-54.2313,28.62,7318,4.06,-999,13.531,-38.86,5.14,0.97
16124811-5415224,665,NGC6067,243.20046,-54.2562,30.53,5717,4.45,-999,14.791,-36.39,0.71,0.2
16124815-5410102,665,NGC6067,243.20063,-54.1695,65.31,5826,4.26,-999,14.562,1.34,0.32,0.34
16124837-5413288,665,NGC6067,243.20154,-54.2247,49.6,6024,4.29,-999,14.134,-8.76,0.29,0.53
16124843-5413057,665,NGC6067,243.20179,-54.2182,78.67,7289,4.13,-999,13.644,-35.49,0.8,0.89
16124852-5419091,665,NGC6067,243.20217,-54.3192,59.2,7372,4.03,-999,14.056,-40.07,0.86,0.71
16124911-5410506,665,NGC6067,243.20462,-54.1807,64.89,6395,4.08,-999,13.363,-17.94,0.38,0.86
16124921-5410345,665,NGC6067,243.20504,-54.1763,44.56,5857,4.39,-999,13.915,-36.54,0.32,0.49
16124984-5417121,665,NGC6067,243.20767,-54.2867,27.55,7916,4.03,-999,13.187,-38.19,1.16,0.99
