target,filter,cluster,_RAJ2000,_DEJ2000,S/N,Teff,logg,gamma,Ks,RV,e_RV,logL
07370839-3850174,665,NGC2451a,114.28496,-38.8382,50.15,4861,2.566,1.011,11.593,64.43,0.3,-1.15
07370858-3830595,665,NGC2451a,114.28575,-38.5165,74.52,3860,4.502,0.894,12.699,36.72,0.73,-1.63
07371008-3846180,665,NGC2451a,114.292,-38.7717,76.78,5322,4.1,0.994,11.623,59.41,0.29,-1.05
07371315-3831279,665,NGC2451a,114.30479,-38.5244,45.3,4836,2.694,1.011,13.632,148.42,0.31,-1.97
07371334-3831467,665,NGC2451a,114.30558,-38.5296,58.39,4341,4.519,0.964,13.563,35,0.24,-1.94
07371479-3838018,665,NGC2451a,114.31163,-38.6338,114.83,4821,3.222,1.021,12.33,134.87,0.24,-1.43
07371492-3839194,665,NGC2451a,114.31217,-38.6554,151.45,5874,3.917,0.996,10.94,29.61,0.42,-0.51
07371515-3840132,665,NGC2451a,114.31313,-38.6703,62.05,4953,3.132,1.025,11.799,58.82,0.29,-1.19
07371524-3833349,665,NGC2451a,114.3135,-38.5597,66.6,5007,2.609,1.014,13.15,96.72,0.27,-1.79
07371583-3844213,665,NGC2451a,114.31596,-38.7392,48.23,4510,2.122,1.021,11.804,81.88,0.28,-1.27
07371652-3840438,665,NGC2451a,114.31883,-38.6788,98.86,4723,2.691,1.016,12.601,37.21,0.26,-1.55
07371735-3845494,665,NGC2451a,114.32229,-38.7637,57.37,4847,2.572,1.02,12.978,76.73,0.28,-1.72
07371983-3850113,665,NGC2451a,114.33262,-38.8365,143.43,4924,4.544,0.969,10.451,60.35,0.25,-0.48
07372021-3836172,665,NGC2451a,114.33421,-38.6048,25.84,3982,4.641,0.877,10.755,-19.46,0.61,-0.82
07372022-3843361,665,NGC2451a,114.33425,-38.7267,82.07,4875,2.705,1,11.226,117.02,0.28,-0.95
07372085-3839123,665,NGC2451a,114.33688,-38.6534,89.89,4789,2.173,1.015,12.608,99.81,0.26,-1.54
07372128-3842499,665,NGC2451a,114.33867,-38.7139,83.29,4554,2.628,1.01,11.084,1.08,0.25,-0.94
07372151-3834477,665,NGC2451a,114.33963,-38.5799,59.18,5053,3.13,1.004,11.489,64.68,0.28,-1.06
07372174-3837157,665,NGC2451a,114.34058,-38.621,121.32,6156,4.227,0.998,11.36,9.68,0.26,-0.71
