Name,Cluster,Source,LitPeriod,TIC,GaiaDR2,SimbadName
N2547-1-7-6020,NGC 2547,irwin2008,8.498,238667370,5514375066152563712,[IHA2008] N2547-1-7-6020
N2547-1-7-6310,NGC 2547,irwin2008,0.37,238667343,5514375134872629760,[IHA2008] N2547-1-7-6310
N2547-1-7-6578,NGC 2547,irwin2008,1.328,238645350,5514563361818944256,[IHA2008] N2547-1-7-6578
N2547-1-7-7580,NGC 2547,irwin2008,0.265,238645413,5514563774129415296,[IHA2008] N2547-1-7-7580
N2547-1-7-8334,NGC 2547,irwin2008,0.886,238667182,5514563907273748992,[IHA2008] N2547-1-7-8334
N2547-1-7-8533,NGC 2547,irwin2008,1.389,238661711,5514563941634975232,[IHA2008] N2547-1-7-8533
N2547-1-8-1886,NGC 2547,irwin2008,0.393,238725179,5515859273711523328,[IHA2008] N2547-1-8-1886
N2547-1-8-6204,NGC 2547,irwin2008,1.421,238725536,5515874082758664576,[IHA2008] N2547-1-8-6204
N2547-1-8-6812,NGC 2547,irwin2008,0.463,238667271,5515876414919962752,[IHA2008] N2547-1-8-6812
N2547-2-1-944,NGC 2547,irwin2008,0.284,238668404,5514351667170003584,[IHA2008] N2547-2-1-944
N2547-2-1-1056,NGC 2547,irwin2008,0.886,238668390,5514351701529756672,[IHA2008] N2547-2-1-1056
N2547-2-1-1310,NGC 2547,irwin2008,3.167,238668371,5514351705830909056,[IHA2008] N2547-2-1-1310
N2547-2-1-2408,NGC 2547,irwin2008,2.333,238724617,5514352908421767168,[IHA2008] N2547-2-1-2408
N2547-2-1-2761,NGC 2547,irwin2008,0.238,238724655,5514352839702295424,[IHA2008] N2547-2-1-2761
N2547-2-1-4983,NGC 2547,irwin2008,1.038,238668031,5514357096009083648,[IHA2008] N2547-2-1-4983
N2547-2-1-5935,NGC 2547,irwin2008,4.301,238724915,5514357443907063040,[IHA2008] N2547-2-1-5935
N2547-2-1-6067,NGC 2547,irwin2008,0.402,238724935,5515855528500099456,[IHA2008] N2547-2-1-6067
N2547-2-2-833,NGC 2547,irwin2008,1.624,238668415,5514354317171091328,[IHA2008] N2547-2-2-833
N2547-2-2-1421,NGC 2547,irwin2008,2.289,238668370,5514351843269849216,[IHA2008] N2547-2-2-1421
N2547-2-2-1485,NGC 2547,irwin2008,0.188,238644305,5514354587747828864,[IHA2008] N2547-2-2-1485
N2547-2-2-1563,NGC 2547,irwin2008,0.24,238644309,5514349506807731200,[IHA2008] N2547-2-2-1563
N2547-2-2-2133,NGC 2547,irwin2008,2.071,238644360,5514349777384533376,[IHA2008] N2547-2-2-2133
N2547-2-2-2994,NGC 2547,irwin2008,0.294,238668225,5514355176164451712,[IHA2008] N2547-2-2-2994
N2547-2-2-3799,NGC 2547,irwin2008,4.493,238644506,5514356206956587904,[IHA2008] N2547-2-2-3799
N2547-2-2-3940,NGC 2547,irwin2008,0.586,238668154,5514356030857885696,[IHA2008] N2547-2-2-3940
N2547-2-2-4102,NGC 2547,irwin2008,0.55,238668142,5514356206956584832,[IHA2008] N2547-2-2-4102
N2547-2-2-4133,NGC 2547,irwin2008,0.853,238668139,5514355343662349056,[IHA2008] N2547-2-2-4133
N2547-2-2-4711,NGC 2547,irwin2008,1.424,238668090,5514356310035796992,[IHA2008] N2547-2-2-4711
N2547-2-2-4736,NGC 2547,irwin2008,1.038,238644586,5514356271375328000,[IHA2008] N2547-2-2-4736
N2547-2-2-6291,NGC 2547,irwin2008,0.518,238667940,5514357955003554560,[IHA2008] N2547-2-2-6291
N2547-2-2-6311,NGC 2547,irwin2008,0.456,238644706,5514368400364017408,[IHA2008] N2547-2-2-6311
N2547-2-2-6531,NGC 2547,irwin2008,1.074,238667921,5514358058081825920,[IHA2008] N2547-2-2-6531
N2547-2-2-6621,NGC 2547,irwin2008,0.882,238667914,5514368267224743296,[IHA2008] N2547-2-2-6621
N2547-2-2-6915,NGC 2547,irwin2008,0.686,238667880,5514369706033149696,[IHA2008] N2547-2-2-6915
N2547-2-2-7133,NGC 2547,irwin2008,0.513,238644791,5514369401096082688,[IHA2008] N2547-2-2-7133
N2547-2-3-468,NGC 2547,irwin2008,1.989,238644213,5514349403724200192,[IHA2008] N2547-2-3-468
N2547-2-3-1137,NGC 2547,irwin2008,5.087,238616767,5514361189118830080,[IHA2008] N2547-2-3-1137
N2547-2-3-1609,NGC 2547,irwin2008,1.25,238616726,5514360570643555072,[IHA2008] N2547-2-3-1609
N2547-2-3-2860,NGC 2547,irwin2008,0.383,238616619,,[IHA2008] N2547-2-3-2860
