TIC,provenance_name,sequence_number,flux_cols,period,power,threshold
22595959,CDIPS,7,PCA1,5.0755,0.4702,0.0205
22595959,CDIPS,7,PCA2,3.7985,0.1331,0.0237
22595959,CDIPS,7,PCA2,2.5163,0.2455,0.0237
22595959,CDIPS,7,PCA2,4.9501,0.5119,0.0237
22595959,CDIPS,7,PCA3,1.8603,0.0328,0.0231
22595959,CDIPS,7,PCA3,2.2108,0.0528,0.0231
22595959,CDIPS,7,PCA3,3.8769,0.1019,0.0231
22595959,CDIPS,7,PCA3,5.0755,0.3145,0.0231
22595959,CDIPS,7,PCA3,2.5679,0.3923,0.0231
22595959,CDIPS,7,TFA1,3.7186,0.0347,0.0272
22595959,CDIPS,7,TFA1,4.9582,0.075,0.0272
22595959,CDIPS,7,TFA1,2.5592,0.1564,0.0272
22595959,CDIPS,7,TFA2,3.6911,0.0781,0.0278
22595959,CDIPS,7,TFA2,4.9995,0.1384,0.0278
22595959,CDIPS,7,TFA2,2.5248,0.1596,0.0278
22595959,CDIPS,7,TFA3,1.8708,0.0307,0.0285
22595959,CDIPS,7,TFA3,3.6419,0.0321,0.0285
22595959,CDIPS,7,TFA3,4.9096,0.0533,0.0285
22595959,CDIPS,7,TFA3,2.5505,0.11,0.0285
22595959,PATHOS,7,ap1_flux_cor,7.9077,0.0712,0.0232
22595959,PATHOS,7,ap1_flux_cor,2.544,0.1872,0.0232
22595959,PATHOS,7,ap1_flux_cor,5.1627,0.6204,0.0232
22595959,PATHOS,7,ap2_flux_cor,20.5888,0.0259,0.0234
22595959,PATHOS,7,ap2_flux_cor,2.5548,0.1539,0.0234
22595959,PATHOS,7,ap2_flux_cor,5.1451,0.7561,0.0234
22595959,PATHOS,7,ap3_flux_cor,20.3105,0.0385,0.0254
22595959,PATHOS,7,ap3_flux_cor,2.5548,0.152,0.0254
22595959,PATHOS,7,ap3_flux_cor,5.1451,0.686,0.0254
22595959,PATHOS,7,psf_flux_cor,2.5636,0.1486,0.0232
22595959,PATHOS,7,psf_flux_cor,5.1363,0.7667,0.0232
22595959,QLP,7,sap_flux,11.4267,0.0274,0.0249
22595959,QLP,7,sap_flux,2.5527,0.1406,0.0249
22595959,QLP,7,sap_flux,5.1716,0.7238,0.0249
22596201,CDIPS,7,PCA1,0.9009,0.0959,0.0232
22596201,CDIPS,7,PCA2,0.9019,0.0882,0.0236
22596201,CDIPS,7,PCA3,0.8992,0.0451,0.0234
22596201,CDIPS,7,TFA1,0.9019,0.0591,0.024
22596201,CDIPS,7,TFA2,0.9006,0.0656,0.0236
22596201,CDIPS,7,TFA3,0.9009,0.0267,0.0226
22596201,PATHOS,7,ap1_flux_cor,2.9485,0.0327,0.0252
22596201,PATHOS,7,ap1_flux_cor,5.6374,0.04,0.0252
22596201,PATHOS,7,ap1_flux_cor,2.163,0.0453,0.0252
22596201,PATHOS,7,ap1_flux_cor,26.8436,0.3788,0.0252
22596201,PATHOS,7,ap1_flux_cor,9.9507,0.4423,0.0252
22596201,PATHOS,7,ap2_flux_cor,0.903,0.0356,0.0311
22596201,PATHOS,7,ap2_flux_cor,6.5751,0.0452,0.0311
22596201,PATHOS,7,ap2_flux_cor,37.592,0.2002,0.0311
22596201,PATHOS,7,ap3_flux_cor,4.9257,0.0309,0.0243
22596201,PATHOS,7,ap3_flux_cor,6.462,0.0336,0.0243
22596201,PATHOS,7,ap3_flux_cor,0.1655,0.0442,0.0243
22596201,PATHOS,7,ap3_flux_cor,41.7736,0.3436,0.0243
