target_name,provenance_name,flux_cols,sequence_number,obs_id,productFilename,fund_periods,fund_powers,sig_periods,sig_powers,sec_periods,sec_powers,thresholds,tics,num_sig_peaks,harm_types,clean60,clean30,clean10,clean,half,dbl,period_short,power_short,SpotEvol,MultiProt,Blended,Q,Q2,Q3,Select,Notes
130797034,CDIPS,PCA3,8,hlsp_cdips_tess_ffi_gaiatwo0005538547421274143488-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538547421274143488-0008-cam3-ccd2_tess_v01_llc.fits,2.2059,0.7888,2.2059,0.7888,1.9637,0.2804,0.028118,130797034,5,-,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
130797037,CDIPS,TFA1,8,hlsp_cdips_tess_ffi_gaiatwo0005538547416973564672-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538547416973564672-0008-cam3-ccd2_tess_v01_llc.fits,2.1914,0.2614,2.1914,0.2614,1.4829,0.0351,0.030718,130797037,1,-,TRUE,TRUE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
130797037,QLP,sap_flux,8,hlsp_qlp_tess_ffi_s0008-0000000130797037_tess_v01_llc,hlsp_qlp_tess_ffi_s0008-0000000130797037_tess_v01_llc.fits,2.1883,0.4152,2.1883,0.4152,19.1456,0.2142,0.027568,130797037,6,-,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
130797037,CDIPS,TFA2,8,hlsp_cdips_tess_ffi_gaiatwo0005538547416973564672-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538547416973564672-0008-cam3-ccd2_tess_v01_llc.fits,2.2108,0.2973,2.2108,0.2973,1.6608,0.0435,0.028888,130797037,2,-,TRUE,TRUE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
130797037,CDIPS,TFA3,8,hlsp_cdips_tess_ffi_gaiatwo0005538547416973564672-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538547416973564672-0008-cam3-ccd2_tess_v01_llc.fits,2.1662,0.2183,2.1662,0.2183,1.0765,0.0604,0.032759,130797037,1,half,TRUE,TRUE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
130797037,CDIPS,PCA1,8,hlsp_cdips_tess_ffi_gaiatwo0005538547416973564672-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538547416973564672-0008-cam3-ccd2_tess_v01_llc.fits,2.2059,0.7762,2.2059,0.7762,1.9676,0.2821,0.02928,130797037,5,-,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,m,n,y,0,2,2,y,Could possibly double period; blended with TIC 130797034
130797037,CDIPS,PCA2,8,hlsp_cdips_tess_ffi_gaiatwo0005538547416973564672-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538547416973564672-0008-cam3-ccd2_tess_v01_llc.fits,2.2027,0.8007,2.2027,0.8007,1.9663,0.2694,0.029898,130797037,5,-,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
130797037,CDIPS,PCA3,8,hlsp_cdips_tess_ffi_gaiatwo0005538547416973564672-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538547416973564672-0008-cam3-ccd2_tess_v01_llc.fits,2.2059,0.7857,2.2059,0.7857,1.9637,0.2807,0.031752,130797037,4,-,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
130797038,CDIPS,TFA1,8,hlsp_cdips_tess_ffi_gaiatwo0005538547283835168000-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538547283835168000-0008-cam3-ccd2_tess_v01_llc.fits,0.6262,0.6214,0.6262,0.6214,0.6492,0.2023,0.029313,130797038,2,-,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
130797038,QLP,sap_flux,8,hlsp_qlp_tess_ffi_s0008-0000000130797038_tess_v01_llc,hlsp_qlp_tess_ffi_s0008-0000000130797038_tess_v01_llc.fits,0.6262,0.6483,0.6262,0.6483,19.3927,0.0595,0.025187,130797038,2,-,TRUE,TRUE,TRUE,FALSE,0,0,-99,-99,n,n,n,0,2,2,y,CDIPS PCA1 is also good
130797038,CDIPS,TFA2,8,hlsp_cdips_tess_ffi_gaiatwo0005538547283835168000-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538547283835168000-0008-cam3-ccd2_tess_v01_llc.fits,0.626,0.5557,0.626,0.5557,0.6043,0.197,0.027803,130797038,3,-,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
130797038,CDIPS,TFA3,8,hlsp_cdips_tess_ffi_gaiatwo0005538547283835168000-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538547283835168000-0008-cam3-ccd2_tess_v01_llc.fits,0.6264,0.6287,0.6264,0.6287,0.6494,0.1929,0.02945,130797038,3,-,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
130797038,CDIPS,PCA1,8,hlsp_cdips_tess_ffi_gaiatwo0005538547283835168000-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538547283835168000-0008-cam3-ccd2_tess_v01_llc.fits,0.6262,0.9345,0.6262,0.9345,0.6049,0.2504,0.029316,130797038,3,-,TRUE,TRUE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
130797038,CDIPS,PCA2,8,hlsp_cdips_tess_ffi_gaiatwo0005538547283835168000-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538547283835168000-0008-cam3-ccd2_tess_v01_llc.fits,0.6262,0.9339,0.6262,0.9339,0.6047,0.2581,0.02947,130797038,3,-,TRUE,TRUE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
130797038,CDIPS,PCA3,8,hlsp_cdips_tess_ffi_gaiatwo0005538547283835168000-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538547283835168000-0008-cam3-ccd2_tess_v01_llc.fits,0.6263,0.9225,0.6263,0.9225,0.6047,0.2522,0.025398,130797038,3,-,TRUE,TRUE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
130799014,CDIPS,TFA1,8,hlsp_cdips_tess_ffi_gaiatwo0005538840853439799808-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538840853439799808-0008-cam3-ccd2_tess_v01_llc.fits,0.4063,0.5534,0.4063,0.5534,0.203,0.1825,0.02774,130799014,5,half,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
130799014,QLP,sap_flux,8,hlsp_qlp_tess_ffi_s0008-0000000130799014_tess_v01_llc,hlsp_qlp_tess_ffi_s0008-0000000130799014_tess_v01_llc.fits,0.4063,0.3934,0.4063,0.3934,0.203,0.129,0.030682,130799014,6,half,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
130799014,CDIPS,TFA2,8,hlsp_cdips_tess_ffi_gaiatwo0005538840853439799808-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538840853439799808-0008-cam3-ccd2_tess_v01_llc.fits,0.4062,0.485,0.4062,0.485,0.2031,0.2027,0.030847,130799014,4,half,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
130799014,CDIPS,TFA3,8,hlsp_cdips_tess_ffi_gaiatwo0005538840853439799808-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538840853439799808-0008-cam3-ccd2_tess_v01_llc.fits,0.4061,0.4587,0.4061,0.4587,0.203,0.1773,0.0298,130799014,5,half,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
130799014,CDIPS,PCA1,8,hlsp_cdips_tess_ffi_gaiatwo0005538840853439799808-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538840853439799808-0008-cam3-ccd2_tess_v01_llc.fits,0.4063,0.6724,0.4063,0.6724,0.2031,0.2362,0.028027,130799014,5,half,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,y,n,y,0,2,2,y,QLP also good; P2 is half of P1
130799014,CDIPS,PCA2,8,hlsp_cdips_tess_ffi_gaiatwo0005538840853439799808-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538840853439799808-0008-cam3-ccd2_tess_v01_llc.fits,0.4063,0.6683,0.4063,0.6683,0.203,0.2355,0.028368,130799014,5,half,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
130799014,CDIPS,PCA3,8,hlsp_cdips_tess_ffi_gaiatwo0005538840853439799808-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538840853439799808-0008-cam3-ccd2_tess_v01_llc.fits,0.4063,0.6479,0.4063,0.6479,0.2031,0.2225,0.033923,130799014,5,half,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
130875383,CDIPS,TFA1,8,hlsp_cdips_tess_ffi_gaiatwo0005538762959910902272-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005538762959910902272-0008-cam3-ccd2_tess_v01_llc.fits,1.5905,0.1614,1.5905,0.1614,1.4451,0.0978,0.031141,130875383,3,-,FALSE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
